GapStart,GapEnd,DurationMinutes
2014-04-24 16:35,2014-06-25 14:05,89130
2014-06-25 14:35,2014-07-15 15:47,28872
2014-07-15 16:02,2014-07-15 16:18,16
2014-07-27 09:56,2014-07-29 10:35,2919
2014-08-03 16:31,2014-08-03 17:19,48
2014-08-08 19:53,2014-08-12 12:51,5338
2014-08-14 12:12,2014-08-14 12:27,15
2014-08-14 16:57,2014-08-14 17:21,24
2014-08-14 17:36,2014-08-14 17:46,10
2014-09-12 19:59,2014-09-12 20:01,2
2014-09-15 10:10,2014-09-15 10:38,28
2014-09-15 16:24,2014-09-15 16:59,35
2014-10-20 16:20,2014-10-20 16:33,13
2014-10-22 01:06,2014-10-23 13:32,2186
2014-11-03 11:41,2014-11-30 10:15,38794
2014-12-01 09:32,2015-03-05 19:49,135977
2015-03-05 19:49,2015-03-05 19:56,7
2015-03-05 19:59,2015-03-05 20:07,8
2015-03-05 20:08,2015-03-05 20:10,2
2015-03-05 20:15,2015-03-05 20:17,2
2015-03-05 20:18,2015-03-05 20:20,2
2015-03-05 20:28,2015-03-05 20:30,2
2015-03-05 20:31,2015-03-05 20:33,2
2015-03-05 20:35,2015-03-05 20:37,2
2015-03-05 20:38,2015-03-05 20:40,2
2015-03-05 20:41,2015-03-05 20:43,2
2015-03-05 20:45,2015-03-05 20:47,2
2015-03-05 20:48,2015-03-05 20:50,2
2015-03-05 20:55,2015-03-05 20:57,2
2015-03-05 20:58,2015-03-05 21:00,2
2015-03-05 21:05,2015-03-05 21:07,2
2015-03-05 21:08,2015-03-05 21:10,2
2015-03-05 21:10,2015-03-05 21:20,10
2015-03-05 21:22,2015-03-05 21:24,2
2015-03-05 21:25,2015-03-05 21:27,2
2015-03-05 21:28,2015-03-05 21:30,2
2015-03-05 21:35,2015-03-05 21:37,2
2015-03-05 21:38,2015-03-05 21:40,2
2015-03-05 21:45,2015-03-05 21:47,2
2015-03-05 21:48,2015-03-05 21:50,2
2015-03-05 21:55,2015-03-05 21:57,2
2015-03-05 21:58,2015-03-05 22:00,2
2015-03-05 22:05,2015-03-05 22:07,2
2015-03-05 22:08,2015-03-05 22:10,2
2015-03-05 22:12,2015-03-05 22:14,2
2015-03-05 22:15,2015-03-05 22:17,2
2015-03-05 22:18,2015-03-05 22:20,2
2015-03-05 22:22,2015-03-05 22:24,2
2015-03-05 22:25,2015-03-05 22:27,2
2015-03-05 22:32,2015-03-05 22:34,2
2015-03-05 22:35,2015-03-05 22:37,2
2015-03-05 22:42,2015-03-05 22:44,2
2015-03-05 22:45,2015-03-05 22:47,2
2015-03-05 22:52,2015-03-05 22:54,2
2015-03-05 22:55,2015-03-05 22:57,2
2015-03-05 23:02,2015-03-05 23:04,2
2015-03-05 23:05,2015-03-05 23:07,2
2015-03-05 23:08,2015-03-05 23:10,2
2015-03-05 23:12,2015-03-05 23:14,2
2015-03-05 23:15,2015-03-05 23:17,2
2015-03-05 23:22,2015-03-05 23:24,2
2015-03-05 23:25,2015-03-05 23:27,2
2015-03-05 23:35,2015-03-05 23:37,2
2015-03-05 23:38,2015-03-05 23:40,2
2015-03-05 23:45,2015-03-05 23:47,2
2015-03-05 23:48,2015-03-05 23:50,2
2015-03-05 23:52,2015-03-05 23:54,2
2015-03-05 23:55,2015-03-05 23:57,2
2015-03-06 00:02,2015-03-06 00:04,2
2015-03-06 00:05,2015-03-06 00:07,2
2015-03-06 00:15,2015-03-06 00:17,2
2015-03-06 00:18,2015-03-06 00:20,2
2015-03-06 00:25,2015-03-06 00:27,2
2015-03-06 00:28,2015-03-06 00:30,2
2015-03-06 00:35,2015-03-06 00:37,2
2015-03-06 00:38,2015-03-06 00:40,2
2015-03-06 00:42,2015-03-06 00:44,2
2015-03-06 00:45,2015-03-06 00:47,2
2015-03-06 00:52,2015-03-06 00:54,2
2015-03-06 00:55,2015-03-06 00:57,2
2015-03-06 01:02,2015-03-06 01:04,2
2015-03-06 01:05,2015-03-06 01:07,2
2015-03-06 01:12,2015-03-06 01:14,2
2015-03-06 01:15,2015-03-06 01:17,2
2015-03-06 01:25,2015-03-06 01:27,2
2015-03-06 01:28,2015-03-06 01:30,2
2015-03-06 01:32,2015-03-06 01:34,2
2015-03-06 01:35,2015-03-06 01:37,2
2015-03-06 01:42,2015-03-06 01:44,2
2015-03-06 01:45,2015-03-06 01:47,2
2015-03-06 01:52,2015-03-06 01:54,2
2015-03-06 01:55,2015-03-06 01:57,2
2015-03-06 02:02,2015-03-06 02:04,2
2015-03-06 02:05,2015-03-06 02:07,2
2015-03-06 02:12,2015-03-06 02:14,2
2015-03-06 02:15,2015-03-06 02:17,2
2015-03-06 02:22,2015-03-06 02:24,2
2015-03-06 02:25,2015-03-06 02:27,2
2015-03-06 02:32,2015-03-06 02:34,2
2015-03-06 02:35,2015-03-06 02:37,2
2015-03-06 02:42,2015-03-06 02:44,2
2015-03-06 02:45,2015-03-06 02:47,2
2015-03-06 02:52,2015-03-06 02:54,2
2015-03-06 02:55,2015-03-06 02:57,2
2015-03-06 03:02,2015-03-06 03:04,2
2015-03-06 03:05,2015-03-06 03:07,2
2015-03-06 03:12,2015-03-06 03:14,2
2015-03-06 03:15,2015-03-06 03:17,2
2015-03-06 03:22,2015-03-06 03:24,2
2015-03-06 03:25,2015-03-06 03:27,2
2015-03-06 03:32,2015-03-06 03:34,2
2015-03-06 03:35,2015-03-06 03:37,2
2015-03-06 03:42,2015-03-06 03:44,2
2015-03-06 03:45,2015-03-06 03:47,2
2015-03-06 03:52,2015-03-06 03:54,2
2015-03-06 03:55,2015-03-06 03:57,2
2015-03-06 04:02,2015-03-06 04:04,2
2015-03-06 04:05,2015-03-06 04:07,2
2015-03-06 04:15,2015-03-06 04:17,2
2015-03-06 04:22,2015-03-06 04:24,2
2015-03-06 04:25,2015-03-06 04:27,2
2015-03-06 04:32,2015-03-06 04:34,2
2015-03-06 04:35,2015-03-06 04:37,2
2015-03-06 04:42,2015-03-06 04:44,2
2015-03-06 04:45,2015-03-06 04:47,2
2015-03-06 04:48,2015-03-06 04:50,2
2015-03-06 04:52,2015-03-06 04:54,2
2015-03-06 04:55,2015-03-06 04:57,2
2015-03-06 05:02,2015-03-06 05:04,2
2015-03-06 05:05,2015-03-06 05:07,2
2015-03-06 05:15,2015-03-06 05:17,2
2015-03-06 05:18,2015-03-06 05:20,2
2015-03-06 05:25,2015-03-06 05:27,2
2015-03-06 05:28,2015-03-06 05:30,2
2015-03-06 05:32,2015-03-06 05:34,2
2015-03-06 05:35,2015-03-06 05:37,2
2015-03-06 05:42,2015-03-06 05:44,2
2015-03-06 05:45,2015-03-06 05:47,2
2015-03-06 05:52,2015-03-06 05:54,2
2015-03-06 05:55,2015-03-06 05:57,2
2015-03-06 06:02,2015-03-06 06:04,2
2015-03-06 06:05,2015-03-06 06:07,2
2015-03-06 06:12,2015-03-06 06:14,2
2015-03-06 06:15,2015-03-06 06:17,2
2015-03-06 06:22,2015-03-06 06:24,2
2015-03-06 06:25,2015-03-06 06:27,2
2015-03-06 06:32,2015-03-06 06:34,2
2015-03-06 06:35,2015-03-06 06:37,2
2015-03-06 06:42,2015-03-06 06:44,2
2015-03-06 06:45,2015-03-06 06:47,2
2015-03-06 06:52,2015-03-06 06:54,2
2015-03-06 06:55,2015-03-06 06:57,2
2015-03-06 07:02,2015-03-06 07:04,2
2015-03-06 07:04,2015-03-06 07:15,11
2015-03-06 07:16,2015-03-06 07:18,2
2015-03-06 07:23,2015-03-06 07:25,2
2015-03-06 07:26,2015-03-06 07:28,2
