Date,GapStart,GapEnd,GapStartDelta,GapEndDelta,Meter1,Meter2,Meter3,Meter4,Meter5,Meter6,Meter7,Meter8,Meter9
2014-03-19,2014-03-19 07:19,2014-03-19 07:27,60,60,mean/20,mean/20,locf,locf,locf,locf,locf,locf,locf
2014-03-22,2014-03-22 19:04,2014-03-22 19:22,60,60,mean/25,mean/25,locf,locf,locf,locf,locf,mean/25,locf
2014-03-23,2014-03-23 19:08,2014-03-23 19:15,60,60,mean/20,mean/20,locf,locf,locf,mean/20,locf,mean/20,mean/20
2014-04-27,2014-04-27 14:46,2014-04-27 15:03,60,60,locf,locf,locf,mean/25,locf,mean/20,locf,locf,mean/20
2014-04-29,2014-04-29 15:52,2014-04-29 16:09,60,60,locf,locf,locf,mean/25,locf,mean/25,locf,locf,mean/25
2014-05-09,2014-05-09 07:03,2014-05-09 07:07,60,60,locf,mean/20,locf,mean/15,locf,mean/15,locf,locf,locf
2014-05-14,2014-05-14 20:53,2014-05-14 21:07,60,60,mean/20,mean/20,locf,locf,locf,mean/20,locf,mean/20,locf
2014-05-18,2014-05-18 12:31,2014-05-18 12:46,60,60,mean/20,mean/20,locf,locf,locf,mean/20,locf,locf,mean/25
2014-05-18,2014-05-18 13:01,2014-05-18 13:27,60,60,locf,mean/30,locf,locf,locf,mean/30,locf,locf,locf
2014-05-24,2014-05-24 07:08,2014-05-24 07:13,60,60,mean/30,mean/30,locf,locf,locf,mean/20,mean/20,locf,mean/20
2014-05-24,2014-05-24 09:29,2014-05-24 10:12,120,60,mean/60,mean/60,locf,locf,locf,locf,locf,locf,mean/60
2014-05-24,2014-05-24 11:57,2014-05-24 12:12,60,60,mean/20,mean/20,locf,locf,locf,locf,locf,locf,mean/20
2014-05-27,2014-05-27 22:20,2014-05-27 23:59,120,60,mean/160,mean/160,locf,mean/160,locf,mean/160,mean/160,locf,mean/160
2014-05-29,2014-05-29 07:02,2014-05-29 07:20,60,60,locf,locf,locf,mean/30,locf,mean/30,locf,locf,mean/30
2014-06-03,2014-06-03 06:47,2014-06-03 07:01,60,60,locf,locf,locf,mean/30,locf,locf,mean/30,locf,locf
2014-06-07,2014-06-07 12:24,2014-06-07 12:31,60,60,locf,mean/20,locf,mean/20,locf,mean/20,locf,mean/20,locf
2014-06-08,2014-06-08 10:49,2014-06-08 11:06,60,60,locf,mean/25,locf,mean/25,locf,mean/25,locf,locf,mean/30
2014-06-21,2014-06-21 15:17,2014-06-21 15:25,60,60,locf,locf,locf,mean/20,locf,locf,locf,locf,mean/20
2014-06-21,2014-06-21 20:26,2014-06-21 20:35,60,60,locf,locf,locf,mean/20,locf,locf,locf,locf,mean/20
2014-06-24,2014-06-24 03:30,2014-06-24 03:46,60,60,locf,mean/20,locf,locf,locf,mean/20,locf,mean/20,mean/25
2014-06-24,2014-06-24 23:04,2014-06-24 23:19,60,60,locf,locf,locf,locf,locf,mean/20,mean/25,locf,mean/25
2014-06-24,2014-06-24 23:34,2014-06-24 23:43,60,60,locf,locf,locf,locf,locf,mean/20,mean/25,locf,mean/25
2014-07-14,2014-07-14 07:33,2014-07-14 07:50,60,60,locf,mean/25,locf,locf,locf,mean/25,mean/25,locf,mean/30
2014-07-14,2014-07-14 08:04,2014-07-14 08:14,60,60,locf,mean/25,locf,locf,locf,mean/25,mean/25,locf,locf
2014-07-16,2014-07-16 07:05,2014-07-16 07:16,60,60,locf,mean/25,locf,locf,locf,locf,mean/25,mean/25,mean/25
2014-07-20,2014-07-20 13:50,2014-07-20 14:06,60,60,locf,mean/20,locf,locf,locf,mean/20,locf,mean/20,mean/20
2014-07-22,2014-07-22 06:40,2014-07-22 06:56,60,60,locf,mean/25,locf,locf,locf,mean/20,mean/20,locf,locf
2014-07-25,2014-07-25 06:34,2014-07-25 06:52,60,60,locf,mean/25,locf,locf,locf,mean/25,mean/25,locf,mean/25
2014-07-27,2014-07-27 20:18,2014-07-27 20:27,60,60,locf,mean/20,locf,locf,locf,mean/20,mean/20,locf,mean/20
2014-07-28,2014-07-28 16:44,2014-07-28 16:54,60,60,locf,mean/25,locf,locf,locf,mean/25,locf,locf,locf
2014-07-30,2014-07-30 09:14,2014-07-30 09:21,60,60,locf,mean/20,locf,locf,locf,mean/20,locf,locf,mean/20
2014-08-07,2014-08-07 10:51,2014-08-07 10:57,60,60,locf,locf,locf,locf,locf,locf,locf,locf,locf
2014-08-11,2014-08-11 10:57,2014-08-11 11:10,60,60,locf,mean/20,locf,locf,locf,mean/20,locf,locf,mean/20
2014-08-25,2014-08-25 09:15,2014-08-25 09:24,60,60,locf,mean/15,locf,locf,locf,mean/15,locf,mean/15,locf
2014-08-27,2014-08-27 08:13,2014-08-27 08:25,60,60,locf,mean/20,locf,locf,locf,locf,locf,locf,mean/20
2014-08-31,2014-08-31 23:54,2014-08-31 23:59,60,60,locf,locf,locf,mean/25,locf,locf,locf,locf,locf
2014-09-01,2014-09-01 00:17,2014-09-01 00:26,60,60,locf,locf,locf,mean/20,locf,locf,mean/20,locf,locf
2014-09-05,2014-09-05 06:22,2014-09-05 06:39,60,60,locf,locf,locf,locf,locf,mean/25,locf,locf,mean/25
2014-09-06,2014-09-06 19:28,2014-09-06 19:31,60,60,locf,locf,locf,mean/15,locf,mean/15,mean/15,locf,locf
2014-09-16,2014-09-16 07:09,2014-09-16 07:15,60,60,locf,locf,locf,locf,locf,locf,mean/15,locf,mean/15
2014-09-19,2014-09-19 07:38,2014-09-19 07:48,60,60,locf,locf,locf,locf,locf,mean/15,mean/15,locf,mean/15
2014-09-21,2014-09-21 23:51,2014-09-21 23:59,60,60,locf,locf,locf,locf,locf,locf,locf,locf,mean/25
2014-09-22,2014-09-22 07:37,2014-09-22 07:42,60,60,locf,mean/20,locf,locf,locf,mean/20,mean/20,mean/20,locf
2014-09-25,2014-09-25 12:35,2014-09-25 12:44,60,60,locf,locf,locf,mean/15,locf,mean/15,locf,locf,mean/15
2014-10-06,2014-10-06 19:29,2014-10-06 19:40,60,60,mean/20,mean/20,locf,mean/20,locf,mean/20,locf,mean/20,mean/20
2014-10-13,2014-10-13 12:57,2014-10-13 13:05,60,60,locf,locf,locf,locf,locf,mean/15,locf,locf,mean/15
2014-10-14,2014-10-14 00:20,2014-10-14 00:32,60,60,locf,locf,locf,locf,locf,mean/20,mean/20,locf,locf
2014-10-14,2014-10-14 07:02,2014-10-14 07:09,60,60,locf,locf,locf,locf,locf,mean/20,mean/20,locf,mean/20
2014-11-05,2014-11-05 22:05,2014-11-05 22:17,60,60,mean/20,mean/20,locf,locf,locf,mean/20,mean/20,locf,mean/20
2014-11-07,2014-11-07 06:49,2014-11-07 07:04,60,60,locf,locf,locf,locf,locf,mean/15,mean/15,locf,mean/15
2014-11-10,2014-11-10 08:50,2014-11-10 08:57,60,60,locf,mean/20,locf,locf,locf,mean/15,locf,locf,mean/15
2014-11-11,2014-11-11 22:30,2014-11-11 23:10,60,60,locf,locf,locf,locf,locf,mean/60,mean/60,mean/60,mean/60
2014-12-04,2014-12-04 19:16,2014-12-04 19:19,60,60,mean/20,mean/20,locf,locf,locf,locf,locf,locf,locf
2014-12-05,2014-12-05 07:05,2014-12-05 07:14,60,60,locf,locf,locf,mean/20,locf,locf,mean/20,locf,mean/20
2014-12-08,2014-12-08 20:07,2014-12-08 20:15,60,60,mean/20,mean/20,locf,locf,locf,mean/20,mean/20,locf,mean/20
2014-12-26,2014-12-26 19:56,2014-12-26 20:06,60,60,mean/20,mean/20,locf,locf,locf,mean/15,mean/20,mean/20,mean/20
2015-01-03,2015-01-03 10:18,2015-01-03 10:30,60,60,locf,mean/20,locf,locf,locf,mean/20,mean/20,locf,mean/20
2015-01-06,2015-01-06 19:27,2015-01-06 19:32,60,60,locf,mean/20,locf,locf,locf,mean/15,locf,locf,mean/20
2015-01-24,2015-01-24 00:49,2015-01-24 01:02,60,60,locf,locf,locf,locf,locf,mean/20,mean/20,locf,locf
2015-01-31,2015-01-31 20:21,2015-01-31 20:27,60,60,mean/15,mean/20,locf,locf,locf,mean/20,locf,locf,mean/20
2015-02-16,2015-02-16 06:28,2015-02-16 06:53,60,60,locf,mean/40,locf,locf,locf,mean/40,locf,locf,locf
2015-03-06,2015-03-06 06:53,2015-03-06 07:09,60,60,locf,mean/20,locf,locf,locf,locf,locf,locf,mean/20
2015-03-14,2015-03-14 09:42,2015-03-14 09:50,60,60,mean/15,mean/20,locf,locf,locf,mean/20,locf,locf,mean/20
