Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
2408,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,25,False,False,3,70,False
2409,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,25,False,True,3,70,False
2410,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,25,True,False,3,70,False
2411,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,25,True,True,3,70,False
2412,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,100,False,False,3,70,False
2413,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,100,False,True,3,70,False
2414,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,100,True,False,3,70,False
2415,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,96,100,True,True,3,70,False
2416,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,25,False,False,3,70,False
2417,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,25,False,True,3,70,False
2418,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,25,True,False,3,70,False
2419,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,25,True,True,3,70,False
2420,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,100,False,False,3,70,False
2421,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,100,False,True,3,70,False
2422,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,100,True,False,3,70,False
2423,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,96,288,100,True,True,3,70,False
2424,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,25,False,False,3,70,False
2425,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,25,False,True,3,70,False
2426,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,25,True,False,3,70,False
2427,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,25,True,True,3,70,False
2428,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,100,False,False,3,70,False
2429,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,100,False,True,3,70,False
2430,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,100,True,False,3,70,False
2431,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,30,100,True,True,3,70,False
2432,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,25,False,False,3,70,False
2433,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,25,False,True,3,70,False
2434,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,25,True,False,3,70,False
2435,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,25,True,True,3,70,False
2436,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,100,False,False,3,70,False
2437,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,100,False,True,3,70,False
2438,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,100,True,False,3,70,False
2439,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,96,100,True,True,3,70,False
2440,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,25,False,False,3,70,False
2441,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,25,False,True,3,70,False
2442,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,25,True,False,3,70,False
2443,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,25,True,True,3,70,False
2444,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,100,False,False,3,70,False
2445,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,100,False,True,3,70,False
2446,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,100,True,False,3,70,False
2447,building0;building1;building2;building3;building4;building5,std,MinuteTimeStamp;Total;OCCUPIED,288,288,100,True,True,3,70,False
2448,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,25,False,False,3,70,False
2449,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,25,False,True,3,70,False
2450,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,25,True,False,3,70,False
2451,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,25,True,True,3,70,False
2452,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,100,False,False,3,70,False
2453,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,100,False,True,3,70,False
2454,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,100,True,False,3,70,False
2455,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,30,100,True,True,3,70,False
2456,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,25,False,False,3,70,False
2457,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,25,False,True,3,70,False
2458,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,25,True,False,3,70,False
2459,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,25,True,True,3,70,False
2460,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,100,False,False,3,70,False
2461,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,100,False,True,3,70,False
2462,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,100,True,False,3,70,False
2463,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,96,100,True,True,3,70,False
2464,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,25,False,False,3,70,False
2465,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,25,False,True,3,70,False
2466,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,25,True,False,3,70,False
2467,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,25,True,True,3,70,False
2468,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,100,False,False,3,70,False
2469,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,100,False,True,3,70,False
2470,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,100,True,False,3,70,False
2471,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,30,288,100,True,True,3,70,False
2472,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,25,False,False,3,70,False
2473,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,25,False,True,3,70,False
2474,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,25,True,False,3,70,False
2475,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,25,True,True,3,70,False
2476,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,100,False,False,3,70,False
2477,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,100,False,True,3,70,False
2478,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,100,True,False,3,70,False
2479,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,30,100,True,True,3,70,False
2480,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,25,False,False,3,70,False
2481,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,25,False,True,3,70,False
2482,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,25,True,False,3,70,False
2483,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,25,True,True,3,70,False
2484,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,100,False,False,3,70,False
2485,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,100,False,True,3,70,False
2486,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,100,True,False,3,70,False
2487,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,96,100,True,True,3,70,False
2488,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,25,False,False,3,70,False
2489,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,25,False,True,3,70,False
2490,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,25,True,False,3,70,False
2491,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,25,True,True,3,70,False
2492,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,100,False,False,3,70,False
2493,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,100,False,True,3,70,False
2494,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,100,True,False,3,70,False
2495,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,96,288,100,True,True,3,70,False
2496,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,25,False,False,3,70,False
2497,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,25,False,True,3,70,False
2498,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,25,True,False,3,70,False
2499,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,25,True,True,3,70,False
2500,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,100,False,False,3,70,False
2501,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,100,False,True,3,70,False
2502,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,100,True,False,3,70,False
2503,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,30,100,True,True,3,70,False
2504,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,25,False,False,3,70,False
2505,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,25,False,True,3,70,False
2506,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,25,True,False,3,70,False
2507,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,25,True,True,3,70,False
2508,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,100,False,False,3,70,False
2509,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,100,False,True,3,70,False
2510,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,100,True,False,3,70,False
2511,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,96,100,True,True,3,70,False
2512,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,25,False,False,3,70,False
2513,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,25,False,True,3,70,False
2514,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,25,True,False,3,70,False
2515,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,25,True,True,3,70,False
2516,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,100,False,False,3,70,False
2517,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,100,False,True,3,70,False
2518,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,100,True,False,3,70,False
2519,building0;building1;building2;building3;building4;building5,std,Weekday;Total;OCCUPIED,288,288,100,True,True,3,70,False
2520,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,25,False,False,3,70,False
2521,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,25,False,True,3,70,False
2522,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,25,True,False,3,70,False
2523,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,25,True,True,3,70,False
2524,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,100,False,False,3,70,False
2525,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,100,False,True,3,70,False
2526,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,100,True,False,3,70,False
2527,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,30,100,True,True,3,70,False
2528,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,25,False,False,3,70,False
2529,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,25,False,True,3,70,False
2530,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,25,True,False,3,70,False
2531,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,25,True,True,3,70,False
2532,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,100,False,False,3,70,False
2533,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,100,False,True,3,70,False
2534,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,100,True,False,3,70,False
2535,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,96,100,True,True,3,70,False
2536,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,25,False,False,3,70,False
2537,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,25,False,True,3,70,False
2538,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,25,True,False,3,70,False
2539,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,25,True,True,3,70,False
2540,building0;building1;building2;building3;building4;building5,std,Season;Total;OCCUPIED,30,288,100,False,False,3,70,False
