Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
344,building1,std,Weekday;Season;Total;OCCUPIED,288,96,25,False,False,3,70,False
345,building1,std,Weekday;Season;Total;OCCUPIED,288,96,25,False,True,3,70,False
346,building1,std,Weekday;Season;Total;OCCUPIED,288,96,25,True,False,3,70,False
347,building1,std,Weekday;Season;Total;OCCUPIED,288,96,25,True,True,3,70,False
348,building1,std,Weekday;Season;Total;OCCUPIED,288,96,100,False,False,3,70,False
349,building1,std,Weekday;Season;Total;OCCUPIED,288,96,100,False,True,3,70,False
350,building1,std,Weekday;Season;Total;OCCUPIED,288,96,100,True,False,3,70,False
351,building1,std,Weekday;Season;Total;OCCUPIED,288,96,100,True,True,3,70,False
352,building1,std,Weekday;Season;Total;OCCUPIED,288,288,25,False,False,3,70,False
353,building1,std,Weekday;Season;Total;OCCUPIED,288,288,25,False,True,3,70,False
354,building1,std,Weekday;Season;Total;OCCUPIED,288,288,25,True,False,3,70,False
355,building1,std,Weekday;Season;Total;OCCUPIED,288,288,25,True,True,3,70,False
356,building1,std,Weekday;Season;Total;OCCUPIED,288,288,100,False,False,3,70,False
357,building1,std,Weekday;Season;Total;OCCUPIED,288,288,100,False,True,3,70,False
358,building1,std,Weekday;Season;Total;OCCUPIED,288,288,100,True,False,3,70,False
359,building1,std,Weekday;Season;Total;OCCUPIED,288,288,100,True,True,3,70,False
360,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,False,False,3,70,False
361,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,False,True,3,70,False
362,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,True,False,3,70,False
363,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,25,True,True,3,70,False
364,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,False,False,3,70,False
365,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,False,True,3,70,False
366,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,True,False,3,70,False
367,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,30,100,True,True,3,70,False
368,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,False,False,3,70,False
369,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,False,True,3,70,False
370,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,True,False,3,70,False
371,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,25,True,True,3,70,False
372,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,False,False,3,70,False
373,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,False,True,3,70,False
374,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,True,False,3,70,False
375,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,96,100,True,True,3,70,False
376,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,False,False,3,70,False
377,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,False,True,3,70,False
378,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,True,False,3,70,False
379,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,25,True,True,3,70,False
380,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,False,False,3,70,False
381,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,False,True,3,70,False
382,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,True,False,3,70,False
383,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,288,100,True,True,3,70,False
384,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,25,False,False,3,70,False
385,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,25,False,True,3,70,False
386,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,25,True,False,3,70,False
387,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,25,True,True,3,70,False
388,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,100,False,False,3,70,False
389,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,100,False,True,3,70,False
390,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,100,True,False,3,70,False
391,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,30,100,True,True,3,70,False
392,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,25,False,False,3,70,False
393,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,25,False,True,3,70,False
394,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,25,True,False,3,70,False
395,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,25,True,True,3,70,False
396,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,100,False,False,3,70,False
397,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,100,False,True,3,70,False
398,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,100,True,False,3,70,False
399,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,96,100,True,True,3,70,False
400,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,False,False,3,70,False
401,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,False,True,3,70,False
402,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,True,False,3,70,False
403,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,96,288,25,True,True,3,70,False
