Id,Dataset,Algo,FeaturesLabels,TimeSteps,ForecastSteps,StacksAndUnits,UseRegularization,UseDropout,Splits,Epochs,Done
4000,building1,std,Total;OCCUPIED,30,5,25,False,False,4,100,False
4001,building1,std,MinuteTimeStamp;Total;OCCUPIED,30,5,25,False,False,4,100,False
4002,building1,std,Weekday;Total;OCCUPIED,30,5,25,False,False,4,100,False
4003,building1,std,Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4004,building1,std,Weekday;Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4005,building1,std,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,5,25,False,False,4,100,False
4006,building1,std,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4007,building1,std,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4009,building1,std,Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4010,building1,std,MinuteTimeStamp;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4011,building1,std,Weekday;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4012,building1,std,Season;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4013,building1,std,Weekday;Season;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4014,building1,std,MinuteTimeStamp;Weekday;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4015,building1,std,MinuteTimeStamp;Season;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4016,building1,std,MinuteTimeStamp;Weekday;Season;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4018,building1,ext,Total;OCCUPIED,30,5,25,False,False,4,100,False
4019,building1,ext,MinuteTimeStamp;Total;OCCUPIED,30,5,25,False,False,4,100,False
4020,building1,ext,Weekday;Total;OCCUPIED,30,5,25,False,False,4,100,False
4021,building1,ext,Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4022,building1,ext,Weekday;Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4023,building1,ext,MinuteTimeStamp;Weekday;Total;OCCUPIED,30,5,25,False,False,4,100,False
4024,building1,ext,MinuteTimeStamp;Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4025,building1,ext,MinuteTimeStamp;Weekday;Season;Total;OCCUPIED,30,5,25,False,False,4,100,False
4026,building1,ext,Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
4027,building1,ext,MinuteTimeStamp;Meter1;Meter2;Meter3;Meter4;Meter5;Meter6;Meter7;Meter8;Meter9;OCCUPIED,30,5,25,False,False,4,100,False
